srodek_id,numer_inwentarzowy,nazwa,kategoria_kst,data_przyjecia,wartosc_poczatkowa,stawka_amortyzacji,lokalizacja,osoba_odpowiedzialna,dostawca_id,status
219,ST/00219,Fully-configurable responsive challenge,3,2023-03-07,137688.64,18,Łowicz,pan Maks Kosidło,388,zlikwidowany
220,ST/00220,Implemented secondary time-frame,6,2019-05-13,178763.2,10,Świdnica,Olaf Sztuba,1901,w naprawie
221,ST/00221,Universal client-server parallelism,3,2021-08-07,141168.81,,Bartoszyce,Mieszko Stachewicz,936,w użyciu
222,ST/00222,Persevering multi-tasking interface,3,2025-01-09,90382.78,14,Olkusz,Mikołaj Erdmann,828,w użyciu
223,ST/00223,Phased logistical capacity,8,2022-01-11,154575.55,20,Łomża,Jacek Biesek,1863,w użyciu
224,ST/00224,Polarized coherent toolset,6,2026-01-17,39927.82,18,Koło,Gustaw Jędrusiak,1743,w naprawie
225,ST/00225,Re-contextualized 24/7 installation,491,2023-11-10,192839.82,18,Jarosław,Michał Płaneta,475,w naprawie
226,ST/00226,Right-sized object-oriented intranet,8,2019-03-29,142472.93,10,Bielawa,Aleks Romaniak,578,w naprawie
227,ST/00227,Seamless multimedia concept,3,2021-10-19,9497.6,7,Augustów,Wiktor Toś,580,zlikwidowany
228,ST/00228,Sharable empowering capacity,4,2023-05-14,172868.51,20,Wałbrzych,Nela Friedrich,1048,zlikwidowany
229,ST/00229,Optimized heuristic middleware,4,2019-09-07,64193.5,18,Starogard Gdański,pan Ernest Cader,533,w użyciu
230,ST/00230,Horizontal multi-state parallelism,3,2024-08-15,52748.77,7,Rzeszów,Cyprian Bernatek,74,zlikwidowany
231,ST/00231,Multi-lateral methodical open system,4,2021-10-25,66799.23,30,Ząbki,Olgierd Łabaj,762,w naprawie
232,ST/00232,Progressive value-added firmware,6,2024-09-19,13463.89,18,Głogów,Nataniel Bacik,146,zlikwidowany
233,ST/00233,Multi-tiered grid-enabled budgetary management,6,2021-12-08,122708.52,18,Zakopane,Artur Jaszczyszyn,394,zlikwidowany
234,ST/00234,Expanded empowering focus group,8,2025-01-30,25208.82,18,Sosnowiec,pan Juliusz Burzec,2103,w użyciu
235,ST/00235,Ameliorated intangible projection,3,2021-04-17,44951.92,14,Stargard Szczeciński,Tadeusz Mosur,923,w użyciu
236,ST/00236,Managed reciprocal projection,491,2021-11-24,163721.23,7,Ełk,Kazimierz Mirończuk,567,zlikwidowany
237,ST/00237,Quality-focused value-added toolset,491,2023-08-25,101263.63,30,Wyszków,Arkadiusz Fogt,808,w użyciu
238,ST/00238,Ameliorated value-added leverage,4,2019-02-15,196263.97,10,Ostrowiec Świętokrzyski,Marcin Sznura,205,w naprawie
239,ST/00239,Diverse asynchronous productivity,3,2026-04-09,30974.02,30,Tychy,Grzegorz Dubik,1488,zlikwidowany
240,ST/00240,Integrated scalable collaboration,3,2022-05-08,123065.08,7,Rybnik,Alex Feliksiak,775,zlikwidowany
241,ST/00241,Fundamental zero administration methodology,3,2019-02-21,68468.73,14,Zgorzelec,Marcelina Wyrwich,1791,zlikwidowany
242,ST/00242,Persevering actuating matrix,491,2022-08-25,16255.35,18,Sosnowiec,pani Nela Kluczek,1053,w naprawie
243,ST/00243,Secured holistic project,8,2025-05-08,154222.49,7,Kościan,Blanka Włodarz,1029,zlikwidowany
244,ST/00244,Networked static data-warehouse,3,2026-06-17,196377.07,20,Siedlce,pan Dawid Micał,574,w naprawie
245,ST/00245,Universal stable task-force,4,2025-03-17,74720.03,14,Lubin,Marianna Pacholak,1497,zlikwidowany
246,ST/00246,Organized coherent ability,491,2019-07-14,36924.13,20,Płońsk,pan Hubert Jargieło,864,w użyciu
247,ST/00247,Pre-emptive 6thgeneration matrices,4,2023-08-21,177811.59,20,Lębork,Monika Damian,1167,w naprawie
248,ST/00248,Programmable modular methodology,3,2021-08-02,181900.05,10,Żagań,pani Sylwia Ładniak,2308,w użyciu
249,ST/00249,Ergonomic regional parallelism,8,2025-07-23,127307.42,14,Brodnica,Eryk Prażmo,2052,zlikwidowany
250,ST/00250,Re-contextualized bi-directional workforce,3,2020-04-20,87941.9,20,Czechowice-Dziedzice,Olgierd Perczak,1681,w naprawie
251,ST/00251,Future-proofed bi-directional service-desk,8,2018-08-07,170505.1,20,Bochnia,Dorota Kranc,1314,w naprawie
252,ST/00252,Organized transitional open system,3,2018-10-27,113731.48,14,Grudziądz,Blanka Pietrewicz,1809,w naprawie
253,ST/00253,Digitized value-added portal,6,2026-07-10,57369.18,18,Poznań,Sandra Idzi,808,w naprawie
254,ST/00254,Multi-channeled bi-directional functionalities,491,2020-06-13,101495.19,7,Łowicz,pani Apolonia Gogół,2515,w naprawie
255,ST/00255,Organized needs-based support,3,2024-11-17,151921.54,14,Brzeg,Olgierd Dynia,419,w użyciu
256,ST/00256,Managed user-facing definition,4,2019-11-28,174272.84,20,Mysłowice,Wojciech Sołoducha,1157,zlikwidowany
257,ST/00257,Organized object-oriented time-frame,8,2021-04-21,196680.64,,Głogów,Bruno Walocha,1778,zlikwidowany
258,ST/00258,Innovative modular groupware,3,2022-09-11,78343.71,30,Kutno,Kaja Breś,1745,w użyciu
259,ST/00259,Cross-platform maximized implementation,4,2019-02-07,187003.2,14,Skarżysko-Kamienna,Julian Rabiej,792,w użyciu
260,ST/00260,Ameliorated 3rdgeneration toolset,3,2025-01-27,170656.76,7,Gdynia,Sonia Kliszcz,323,zlikwidowany
261,ST/00261,Optimized fault-tolerant protocol,6,2021-11-14,3033.69,30,Września,pani Olga Szymków,1496,zlikwidowany
262,ST/00262,Adaptive grid-enabled capability,6,2024-12-01,57500.06,7,Kłodzko,Arkadiusz Sadza,1084,zlikwidowany
263,ST/00263,Profound solution-oriented application,6,2020-12-02,68371.02,10,Zakopane,Eryk Armata,2067,w użyciu
264,ST/00264,Seamless tangible ability,491,2022-11-09,162490.63,14,Starachowice,Anastazja Cofała,1944,zlikwidowany
265,ST/00265,Networked radical database,3,2026-05-30,20741.22,18,Nowy Sącz,pan Maks Zgoła,502,zlikwidowany
266,ST/00266,Proactive executive service-desk,3,2023-03-24,137650.11,14,Kutno,Kajetan Drobik,1897,zlikwidowany
267,ST/00267,Profound systematic pricing structure,3,2018-09-17,79792.32,,Chrzanów,pani Klara Fiedorczuk,1569,zlikwidowany
268,,User-friendly grid-enabled complexity,3,2024-04-06,78710.05,18,Świecie,Gabriel Cudzich,475,w użyciu
269,ST/00269,Pre-emptive client-driven protocol,4,2023-04-19,114286.44,18,Szczecin,pan Artur Piwowarek,1883,w naprawie
270,ST/00270,Ergonomic upward-trending attitude,6,2025-04-12,45482.07,10,Piekary Śląskie,Iwo Giża,1150,w naprawie
271,ST/00271,Robust encompassing workforce,6,2020-04-16,45706.37,14,Płock,Jeremi Piotrowiak,823,zlikwidowany
272,ST/00272,Synergistic object-oriented task-force,491,2020-06-28,100897.13,14,Zambrów,Kajetan Grygorcewicz,343,zlikwidowany
273,ST/00273,Fundamental static customer loyalty,6,2020-08-22,142786.31,10,Zgorzelec,Jan Lizurej,2035,w naprawie
274,ST/00274,Universal client-server throughput,3,2023-07-16,89743.94,,Brzeg,pan Kajetan Żelazo,284,zlikwidowany
275,ST/00275,Focused static productivity,8,2021-01-23,140045.57,18,Świnoujście,pani Bianka Folga,229,w użyciu
276,ST/00276,Centralized fresh-thinking service-desk,4,2023-10-30,189770.76,18,Elbląg,Nataniel Watras,1958,zlikwidowany
277,ST/00277,Stand-alone bottom-line utilization,4,2022-09-07,43336.49,30,Bydgoszcz,Dawid Bisaga,1372,w użyciu
278,ST/00278,Public-key intermediate knowledge user,8,2022-03-29,186211.77,30,Włocławek,Malwina Kreczmer,409,zlikwidowany
279,ST/00279,Reduced bi-directional focus group,3,2022-01-11,122387.74,20,Tczew,pani Sonia Nałęcz,227,w naprawie
280,ST/00280,Secured incremental workforce,6,2019-10-13,102494.61,14,Zduńska Wola,pan Jan Baka,1565,zlikwidowany
281,ST/00281,Up-sized full-range application,491,2024-02-06,75591.47,20,Jawor,Marek Białk,1520,zlikwidowany
282,ST/00282,Adaptive zero administration artificial intelligence,6,2021-12-27,86105.25,7,Warszawa,Kamila Kala,835,zlikwidowany
283,ST/00283,Multi-layered global knowledgebase,8,2025-12-22,34204.65,14,Dębica,Marcelina Kycia,534,w naprawie
284,ST/00284,Operative secondary throughput,6,2023-02-05,36128.57,18,Otwock,pani Monika Wabik,404,w naprawie
285,ST/00285,Devolved optimizing project,8,2019-07-16,91627.19,18,Sopot,pan Maciej Kempny,1587,w naprawie
286,ST/00286,Centralized global ability,3,2023-06-10,84045.89,10,Nowa Sól,pani Julianna Dzienniak,229,zlikwidowany
287,ST/00287,Up-sized coherent encoding,4,2024-01-15,180689.4,18,Tomaszów Mazowiecki,Radosław Glica,2027,w użyciu
288,ST/00288,Optimized well-modulated standardization,8,2023-03-13,75005.59,18,Siedlce,Fabian Kuffel,1689,w użyciu
289,ST/00289,Pre-emptive scalable adapter,3,2023-09-18,139812.6,18,Szczecinek,Albert Lazarek,1445,w naprawie
290,ST/00290,Managed directional Local Area Network,6,2025-08-11,24081.61,14,Siemianowice Śląskie,Kazimierz Jakoniuk,115,w użyciu
291,ST/00291,Vision-oriented explicit concept,8,2022-12-27,22449.63,,Myszków,Marika Such,521,w użyciu
292,ST/00292,Progressive asymmetric productivity,3,2025-02-01,141253.17,14,Żyrardów,Elżbieta Albin,1838,w użyciu
293,ST/00293,Centralized object-oriented website,3,2026-04-15,52880.33,7,Zakopane,Kamil Szyguła,1866,zlikwidowany
294,ST/00294,Centralized mission-critical budgetary management,3,2024-08-04,143699.56,10,Częstochowa,Ewa Bubel,1732,w użyciu
295,ST/00295,Object-based real-time application,3,2024-06-13,0,7,Siemianowice Śląskie,Róża Kurant,1394,w naprawie
296,ST/00296,Managed object-oriented approach,6,2024-04-23,161433.04,20,Żory,Ignacy Tryka,1001,w użyciu
297,ST/00297,Switchable object-oriented productivity,491,2025-09-17,152333.33,18,Pszczyna,pan Emil Hartman,52,w użyciu
298,ST/00298,Synergistic dedicated benchmark,8,2019-11-10,70467.83,18,Giżycko,Klara Potoczna,1980,w użyciu
299,ST/00299,Automated non-volatile process improvement,3,2020-09-22,165031.57,30,Nysa,Krystyna Bartoszak,165,w naprawie
300,ST/00300,Future-proofed reciprocal instruction set,3,2019-07-13,120076.71,10,Gliwice,Krystian Tomal,1579,w użyciu
301,ST/00301,Profound directional adapter,6,2024-12-08,80818.05,10,Lębork,pan Maurycy Gradek,1260,w naprawie
302,ST/00302,Organized non-volatile moratorium,491,2025-05-05,73131.67,30,Kraśnik,Juliusz Gabryszak,355,w użyciu
303,ST/00303,Extended logistical hardware,4,2020-09-26,3183.95,20,Brodnica,Liwia Bejger,1806,zlikwidowany
304,ST/00304,Object-based national software,491,2022-11-16,42975.51,30,Nowa Sól,Adrianna Suchta,116,zlikwidowany
305,ST/00305,Profit-focused contextually-based standardization,4,2021-11-19,154073.97,7,Pabianice,Piotr Nieradko,1593,w użyciu
306,ST/00306,Universal leadingedge architecture,6,2023-02-10,127367.68,30,Świętochłowice,Ada Nocek,401,w użyciu
307,ST/00307,Managed optimizing help-desk,4,2023-01-06,40591.68,,Poznań,Eryk Dąbal,2342,w użyciu
308,ST/00308,Virtual didactic info-mediaries,491,2023-04-06,18085.84,7,Jarosław,Dawid Szelest,1191,w naprawie
309,ST/00309,Inverse homogeneous knowledge user,4,2024-05-02,112600.26,7,Zambrów,Jacek Boś,2212,w naprawie
310,ST/00310,Public-key cohesive monitoring,6,2021-07-01,199097.75,30,Piotrków Trybunalski,Olga Indyk,1986,zlikwidowany
311,ST/00311,Robust secondary utilization,491,2026-07-03,198920.06,30,Opole,Aniela Mazanek,220,w użyciu
312,ST/00312,Operative fresh-thinking approach,3,2025-03-05,49143.34,18,Mława,Leon Ligenza,273,w użyciu
313,ST/00313,Extended stable benchmark,491,2025-04-15,119875.25,10,Rumia,Marek Gradek,1878,w naprawie
314,ST/00314,Public-key attitude-oriented utilization,8,2022-05-09,134048.44,14,Suwałki,Wiktor Knysak,1101,zlikwidowany
315,ST/00315,Customer-focused multimedia superstructure,491,2025-06-26,5143.15,30,Zabrze,Fryderyk Zawartka,1793,w użyciu
316,ST/00316,Reduced 3rdgeneration algorithm,4,2019-12-17,118494.12,20,Tarnowskie Góry,pan Krystian Banak,1321,w użyciu
317,ST/00317,Upgradable fault-tolerant forecast,6,2019-05-26,153393.44,30,Grodzisk Mazowiecki,Stanisław Dumin,1445,w naprawie
318,ST/00318,Monitored systemic workforce,6,2025-09-26,103763.45,14,Myszków,Kornel Mikosz,1507,w naprawie
319,ST/00319,Robust well-modulated definition,6,2023-04-28,46048.9,10,Turek,Marcin Pruchnik,193,zlikwidowany
320,ST/00320,Realigned non-volatile array,4,2020-02-10,103615.34,7,Kluczbork,Miłosz Witko,1685,w użyciu
321,ST/00321,Public-key radical application,6,2025-06-25,117284.04,10,Gdańsk,Franciszek Działa,366,zlikwidowany
322,,Optimized multi-state archive,8,2020-10-07,150960.28,10,Ełk,Maksymilian Roszkiewicz,1443,zlikwidowany
323,ST/00323,Sharable interactive success,491,2025-08-13,50353.01,20,Nysa,Paweł Kapuścik,1366,zlikwidowany
324,ST/00324,Virtual maximized software,4,2025-08-27,180004.52,7,Legnica,Miłosz Borczyk,1349,w naprawie
325,ST/00325,Open-source methodical application,4,2026-06-21,48862.54,10,Oława,Cyprian Gal,490,zlikwidowany
326,ST/00326,Programmable value-added hardware,8,2025-05-24,35852.55,30,Zgorzelec,Konstanty Franaszek,1318,zlikwidowany
327,ST/00327,Advanced eco-centric process improvement,8,2019-12-12,170671.95,14,Kętrzyn,pan Maurycy Jasica,797,w użyciu
328,ST/00328,Reverse-engineered tangible Graphic Interface,3,2023-07-28,18142.94,10,Bartoszyce,pan Julian Wawszczak,68,zlikwidowany
329,ST/00329,Automated discrete approach,6,2022-01-14,123581.15,7,Piła,Dariusz Kijanka,898,w naprawie
330,ST/00330,User-friendly zero tolerance model,491,2023-04-29,1019.74,20,Świnoujście,Adrianna Milczarczyk,2129,w naprawie
331,ST/00331,Reverse-engineered next generation portal,491,2023-08-13,153420.47,30,Oświęcim,Krystian Oczko,2094,zlikwidowany
332,ST/00332,Integrated reciprocal framework,4,2020-02-25,196610.06,14,Kłodzko,pan Adrian Buś,1645,zlikwidowany
333,ST/00333,Cross-platform reciprocal flexibility,3,2021-03-05,178185.26,30,Bochnia,pani Justyna Sip,206,zlikwidowany
334,ST/00334,Compatible radical orchestration,6,2025-09-23,117117.5,7,Katowice,Mateusz Kopa,1957,w użyciu
335,ST/00335,Open-architected discrete data-warehouse,4,2026-02-10,115641.72,7,Łomża,Tymon Ryfa,1787,zlikwidowany
336,ST/00336,Versatile mobile standardization,3,2021-07-08,45951.08,14,Lubartów,pan Cezary Job,926,zlikwidowany
337,ST/00337,Re-engineered fault-tolerant service-desk,3,2025-11-27,186479.65,7,Jastrzębie-Zdrój,Dorota Jarczak,1665,w naprawie
338,ST/00338,Front-line reciprocal protocol,4,2022-08-17,175796.69,30,Piastów,pani Agnieszka Augustynek,1744,w użyciu
339,ST/00339,Team-oriented even-keeled extranet,8,2022-12-04,4268.2,30,Iława,Tomasz Gębura,333,w użyciu
340,ST/00340,Programmable scalable ability,4,2021-04-12,137194.76,10,Opole,Jędrzej Skolik,285,w użyciu
341,ST/00341,Mandatory mission-critical initiative,8,2018-10-20,45987.01,18,Łowicz,Oskar Kretek,2036,w użyciu
342,ST/00342,Multi-layered bi-directional database,6,2024-03-17,56984.52,10,Brodnica,pani Tola Bilewicz,161,w naprawie
343,ST/00343,Diverse demand-driven leverage,4,2023-03-03,119131.95,7,Skarżysko-Kamienna,Dorota Makulec,810,zlikwidowany
344,,Extended reciprocal methodology,4,2020-11-18,145049.34,14,Tomaszów Mazowiecki,Marcelina Wochnik,525,w użyciu
345,ST/00345,Down-sized foreground collaboration,6,2020-03-12,101770.03,20,Pszczyna,Tymon Miszta,1407,w naprawie
346,ST/00346,Front-line eco-centric standardization,491,2018-08-29,55273.29,14,Kalisz,Gabriel Iskierka,1353,w użyciu
347,ST/00347,Monitored user-facing matrices,4,2025-12-14,86445.05,30,Łuków,Arkadiusz Pawliczak,913,w naprawie
348,ST/00348,Down-sized neutral ability,8,2019-05-18,162757.42,14,Oleśnica,Artur Pyziak,1010,w naprawie
349,ST/00349,Ameliorated 24/7 instruction set,6,2024-02-12,110307.37,20,Lubliniec,Arkadiusz Miros,1850,w użyciu
350,ST/00350,Inverse uniform model,8,2026-03-14,195176.16,18,Gdynia,Eliza Ciesiółka,1551,zlikwidowany
351,ST/00351,Seamless explicit analyzer,6,2023-01-14,106428.06,20,Chrzanów,Eliza Bartłomiejczyk,851,w użyciu
352,ST/00352,Enterprise-wide high-level support,4,2024-01-13,42149.3,7,Wodzisław Śląski,pan Stefan Kral,984,w naprawie
353,ST/00353,Upgradable value-added knowledge user,6,2024-02-06,58481.74,18,Gdańsk,Damian Stiller,1101,w użyciu
354,ST/00354,Sharable high-level middleware,491,2026-01-01,68661.66,20,Malbork,Fryderyk Kwoka,685,zlikwidowany
355,ST/00355,Progressive analyzing hub,6,2018-11-26,56854.25,30,Skierniewice,Łukasz Downar,1381,zlikwidowany
356,ST/00356,Digitized web-enabled customer loyalty,3,2020-05-24,111822.11,14,Kluczbork,Kalina Tryka,2097,w naprawie
357,ST/00357,Multi-layered 3rdgeneration architecture,6,2025-08-11,51173.53,7,Olsztyn,pani Kaja Wołoszczuk,193,w naprawie
358,ST/00358,Organized value-added algorithm,3,2021-03-06,171550.48,7,Łaziska Górne,Radosław Łabaj,1427,zlikwidowany
359,ST/00359,Cross-platform executive intranet,6,2025-03-07,129903.06,14,Sopot,pani Sylwia Rząca,2093,w naprawie
360,ST/00360,Profound tangible service-desk,491,2021-03-01,1815.83,7,Szczecinek,Ada Kośnik,1744,w użyciu
361,ST/00361,Front-line leadingedge parallelism,491,2018-11-18,154422.06,18,Bochnia,pan Błażej Bachanek,2374,w naprawie
362,ST/00362,Team-oriented full-range encryption,8,2024-12-28,46252.68,30,Cieszyn,Rozalia Kazubek,1478,zlikwidowany
363,ST/00363,Reactive user-facing archive,6,2023-04-24,156807.71,7,Konin,Artur Krzyśków,1033,w użyciu
364,ST/00364,Seamless human-resource website,6,2019-01-03,118201.15,10,Starachowice,pan Patryk Banek,1685,zlikwidowany
365,ST/00365,Stand-alone mobile utilization,3,2024-06-14,175559.48,20,Lubartów,Jeremi Dziugieł,1229,w naprawie
366,ST/00366,Horizontal full-range budgetary management,8,2026-03-17,150339.47,,Słupsk,pani Marianna Łuczka,34,w naprawie
367,ST/00367,Distributed 24/7 moratorium,3,2020-12-29,186001.09,18,Biłgoraj,Konstanty Maciuk,948,zlikwidowany
368,ST/00368,Open-source eco-centric service-desk,6,2025-08-18,16367.24,30,Żory,Julianna Organiściak,1587,zlikwidowany
369,ST/00369,Synergized upward-trending info-mediaries,491,2019-01-06,51907.3,18,Wałbrzych,Eliza Oszust,254,zlikwidowany
370,ST/00370,Organized asynchronous open architecture,3,2021-05-14,69931.26,10,Jarocin,Aleksander Sarosiek,703,zlikwidowany
371,ST/00371,Optional non-volatile parallelism,491,2020-08-25,188898.16,20,Zakopane,Błażej Barłóg,441,zlikwidowany
372,ST/00372,Compatible 5thgeneration info-mediaries,491,2018-08-20,111907.13,,Biłgoraj,Eliza Majczyna,1337,w naprawie
373,,Distributed reciprocal circuit,8,2019-08-24,130339.12,20,Rzeszów,Tymon Turczyk,830,w użyciu
374,ST/00374,Programmable upward-trending implementation,4,2022-06-12,104491.18,18,Wrocław,Daniel Jaszcz,1593,w naprawie
375,ST/00375,Profit-focused holistic standardization,6,2025-04-21,146011.97,,Brzeg,Adam Ambrożewicz,269,w naprawie
376,ST/00376,Operative solution-oriented core,3,2019-06-28,77142.29,30,Kłodzko,Olgierd Miękina,2041,w użyciu
377,ST/00377,Right-sized full-range projection,3,2019-09-21,132550.87,20,Zakopane,Kajetan Kobryń,1854,zlikwidowany
378,ST/00378,Self-enabling 5thgeneration software,4,2018-11-23,65716.58,18,Augustów,Radosław Chomiuk,795,w użyciu
379,ST/00379,Devolved didactic functionalities,6,2020-07-23,168853.92,18,Nowy Sącz,Krystyna Soczówka,894,w użyciu
380,ST/00380,Profound well-modulated task-force,8,2022-05-17,181532.83,30,Czechowice-Dziedzice,Antoni Deszcz,2019,w naprawie
381,ST/00381,Cloned background ability,6,2022-05-04,169561.12,14,Knurów,Ryszard Andrys,1969,w naprawie
382,ST/00382,User-friendly context-sensitive database,6,2023-04-05,78522.31,10,Kluczbork,Szymon Szyca,1748,w użyciu
383,ST/00383,Vision-oriented incremental migration,8,2020-03-09,173147.81,7,Bydgoszcz,pani Agnieszka Fronia,682,zlikwidowany
384,ST/00384,Visionary encompassing database,3,2024-11-09,86184.91,14,Wołomin,Kamil Łokietek,1126,zlikwidowany
385,ST/00385,Exclusive context-sensitive Internet solution,491,2025-01-15,191347.26,14,Skawina,pan Nikodem Fydrych,1088,w naprawie
386,ST/00386,Realigned zero tolerance definition,4,2024-09-01,135837.8,7,Łaziska Górne,Julianna Kłysz,1684,w naprawie
387,ST/00387,Synergized motivating approach,8,2026-04-21,32156.16,30,Biała Podlaska,Ida Franiak,1717,w użyciu
388,ST/00388,Innovative tangible encoding,491,2025-02-27,126452.98,20,Gdynia,pan Leon Miros,2231,w użyciu
389,ST/00389,Multi-tiered multimedia structure,6,2019-10-15,6013.01,20,Kędzierzyn-Koźle,Ignacy Dziób,1716,w użyciu
390,ST/00390,Decentralized next generation task-force,8,2020-10-09,45560.63,20,Lublin,Anna Maria Bystroń,2088,w użyciu
391,ST/00391,User-friendly methodical focus group,3,2023-07-23,141766.87,10,Malbork,Tomasz Feliniak,624,zlikwidowany
392,ST/00392,Team-oriented discrete benchmark,8,2020-01-02,54896.41,30,Wałbrzych,Ernest Błażejczak,2005,zlikwidowany
393,ST/00393,Secured system-worthy intranet,491,2019-08-28,20972.6,10,Piekary Śląskie,Jan Szarejko,1409,w naprawie
394,ST/00394,Centralized clear-thinking software,6,2025-06-13,167968.66,18,Gniezno,Łukasz Armatys,265,w naprawie
395,ST/00395,Pre-emptive multi-tasking budgetary management,3,2019-05-08,24242.76,30,Mikołów,Norbert Nagórka,1810,zlikwidowany
396,ST/00396,Triple-buffered dynamic challenge,6,2019-11-24,77075.1,7,Brzeg,pani Klara Słupik,1294,w naprawie
397,ST/00397,Intuitive reciprocal workforce,8,2024-06-06,10565.4,18,Jastrzębie-Zdrój,Urszula Kowaluk,583,w naprawie
398,ST/00398,Assimilated empowering budgetary management,6,2024-04-17,150323.57,7,Kołobrzeg,pani Dorota Klinkosz,383,w naprawie
399,ST/00399,Object-based background neural-net,491,2019-04-18,113417.52,20,Mława,Mateusz Kuboń,945,w naprawie
400,,Monitored directional attitude,3,2026-07-18,137011.72,7,Białystok,Krzysztof Brzeźniak,535,zlikwidowany
401,ST/00401,Robust stable contingency,4,2026-01-19,102812.41,10,Polkowice,pani Adrianna Marach,1364,w naprawie
402,ST/00402,Sharable composite collaboration,491,2024-08-21,149427.13,18,Mysłowice,Igor Wacławczyk,1156,w naprawie
403,ST/00403,Switchable local alliance,8,2022-10-05,129290.61,7,Konin,Sylwia Fąferek,2086,zlikwidowany
404,ST/00404,Realigned background policy,491,2021-10-24,32250.62,7,Piekary Śląskie,Igor Hanas,1227,w naprawie
405,ST/00405,Versatile even-keeled info-mediaries,3,2025-08-10,50582.74,20,Turek,Karol Jaracz,734,w naprawie
406,ST/00406,Triple-buffered disintermediate initiative,6,2022-12-01,185248.29,30,Katowice,pan Wojciech Doroszuk,1389,zlikwidowany
407,ST/00407,Pre-emptive cohesive alliance,6,2022-02-06,45887.52,20,Czerwionka-Leszczyny,Dariusz Bugla,1677,zlikwidowany
408,ST/00408,Total transitional orchestration,491,2024-05-10,15700.12,14,Zgorzelec,Justyna Miętka,871,w naprawie
409,ST/00409,Expanded system-worthy software,8,2026-02-06,61683.34,7,Starogard Gdański,Tadeusz Szczubełek,819,w naprawie
410,ST/00410,Multi-lateral 4thgeneration budgetary management,8,2024-01-14,41141.89,10,Piaseczno,Sandra Broś,1619,w naprawie
411,ST/00411,Inverse asymmetric alliance,3,2019-02-21,104329.8,20,Piekary Śląskie,Albert Kostro,1226,zlikwidowany
412,ST/00412,Pre-emptive dynamic alliance,3,2024-11-11,114326.53,7,Skarżysko-Kamienna,Natan Pietrek,598,w użyciu
413,,Expanded directional protocol,491,2021-11-20,28524.57,18,Zielona Góra,Tola Tylman,957,zlikwidowany
414,ST/00414,Organic dedicated approach,491,2025-01-30,22275.24,10,Bochnia,Gustaw Wandzel,382,zlikwidowany
415,ST/00415,Polarized fault-tolerant array,6,2026-01-19,101615.07,14,Marki,Natan Dyszkiewicz,1131,w naprawie
416,ST/00416,Self-enabling systemic instruction set,491,2020-05-22,112938.44,18,Żyrardów,pani Aniela Tórz,325,w użyciu
417,ST/00417,Business-focused directional utilization,4,2022-01-26,0,20,Kutno,Eliza Mikita,1833,w użyciu
418,ST/00418,Polarized even-keeled customer loyalty,4,2019-11-28,115187.53,18,Siemianowice Śląskie,Julianna Gregorowicz,647,zlikwidowany
419,ST/00419,Profit-focused 3rdgeneration standardization,6,2022-09-27,30861.92,7,Łódź,Bianka Pilarek,517,w użyciu
420,ST/00420,Customer-focused hybrid circuit,3,2023-02-08,31139.01,,Pszczyna,Ada Kanik,897,zlikwidowany
421,ST/00421,Balanced background structure,6,2020-04-11,167753.39,10,Piekary Śląskie,Eliza Gębura,156,zlikwidowany
422,ST/00422,Stand-alone bottom-line flexibility,6,2022-06-27,52448.97,18,Ciechanów,pani Julianna Boś,1723,zlikwidowany
423,ST/00423,Face-to-face object-oriented extranet,4,2020-09-07,0,7,Płońsk,pani Eliza Sobieszczyk,1802,w użyciu
424,ST/00424,Synergistic uniform structure,4,2019-02-18,113412.06,14,Ełk,Stefan Czuryło,1496,zlikwidowany
425,ST/00425,Diverse analyzing attitude,3,2021-03-06,181745.14,,Jasło,Michał Wasil,529,zlikwidowany
426,ST/00426,Extended composite ability,6,2024-10-15,51353.86,10,Rybnik,Nataniel Trybus,1880,w użyciu
427,ST/00427,Right-sized multi-state neural-net,4,2023-11-22,129583.04,7,Łowicz,Olga Wawrzonek,1436,w naprawie
428,ST/00428,Ameliorated radical budgetary management,6,2025-06-27,21826.33,,Wołomin,pani Dorota Kaszkowiak,1936,w naprawie
429,ST/00429,Decentralized value-added paradigm,4,2024-03-07,112268.4,14,Jaworzno,Marcelina Wojtczuk,2069,w użyciu
430,ST/00430,Sharable heuristic website,3,2024-09-22,118122.52,7,Gdańsk,Blanka Lesik,1759,w użyciu
431,ST/00431,Object-based secondary complexity,8,2025-04-23,41474.34,20,Żagań,Ida Strama,1095,w użyciu
432,ST/00432,Horizontal dedicated superstructure,491,2025-10-28,92853.55,20,Łowicz,Mieszko Ellwart,1492,zlikwidowany
433,ST/00433,Public-key value-added productivity,4,2022-06-04,171676.32,10,Oława,pan Jan Garczarek,435,w użyciu
434,ST/00434,Adaptive eco-centric open architecture,4,2018-10-08,52042.58,,Wołomin,Antoni Pikula,287,w naprawie
435,ST/00435,Focused human-resource toolset,3,2019-01-22,87125.41,,Wałcz,pani Marcelina Zagożdżon,1775,w naprawie
436,ST/00436,Multi-tiered web-enabled frame,3,2025-03-12,8170.83,7,Bielsko-Biała,Aleks Opalach,794,zlikwidowany
437,ST/00437,Digitized uniform strategy,4,2024-08-20,0,7,Goleniów,pan Cyprian Turczyk,1240,zlikwidowany
438,ST/00438,Organic explicit Graphical User Interface,8,2025-03-01,16916.92,10,Stargard Szczeciński,Gustaw Penkala,1884,w naprawie
