umowa_id,numer_umowy,kontrahent_id,data_podpisania,data_rozpoczecia,data_zakonczenia,wartosc,waluta,status,opiekun
607,UM/2021/00607,157,2021-09-22,2021-10-01,2023-04-30,363969.35,PLN,aktywna,Mikołaj Pszczółka
608,UM/2021/00608,1107,2021-07-22,2021-08-04,2023-09-02,260884.37,PLN,aktywna,Maksymilian Kuk
609,UM/2026/00609,486,2026-01-16,2026-01-24,2027-06-08,106400.54,PLN,aktywna,Leonard Tytko
610,UM/2023/00610,1466,2023-11-07,2023-11-22,2024-02-21,131733.01,PLN,aktywna,pan Ernest Garncarz
611,UM/2022/00611,491,2022-02-06,2022-02-17,,133766.16,PLN,zakończona,Elżbieta Krzykała
612,UM/2025/00612,533,2024-12-24,2025-01-11,2028-10-25,41918.9,PLN,w przygotowaniu,Artur Palak
613,UM/2023/00001,442,2024-02-29,2024-03-19,2027-10-19,190084.75,PLN,w przygotowaniu,Aleksander Zmyślony
614,UM/2026/00614,194,2025-12-27,2026-01-15,2029-12-22,432277.68,zł,aktywna,Krzysztof Dacko
615,UM/2023/00615,270,2023-08-23,2023-09-07,2025-07-27,322077.66,PLN,zakończona,Piotr Piaseczna
616,UM/2025/00616,528,2025-06-24,2025-06-24,2028-11-30,454475.36,PLN,zakończona,pani Klara Kuciel
617,UM/2024/00617,836,2024-09-28,2024-10-10,2026-09-19,13504.3,PLN,w przygotowaniu,pani Julianna Irla
618,UM/2021/00618,1723,2021-08-31,2021-09-16,2022-05-16,7782.49,PLN,aktywna,Gaja Kiedrowicz
619,UM/2023/00619,888,2023-06-06,2023-06-19,2027-06-03,10004.21,PLN,zakończona,Dominik Nyk
620,UM/2023/00620,1227,2023-03-01,2023-03-12,2024-08-13,316201.8,PLN,aktywna,Tymoteusz Szymonik
621,UM/2025/00621,2019,2025-03-19,2025-03-25,2026-12-21,63923.26,PLN,aktywna,Olga Szyda
622,UM/2026/00622,1696,2026-04-28,2026-04-29,2026-01-22,473014.45,PLN,zakończona,Filip Domowicz
623,UM/2022/00623,826,2022-08-09,2022-08-29,2024-10-12,492248.8,PLN,aktywna,Marek Karwala
624,UM/2023/00624,734,2023-07-16,2023-07-27,2025-01-18,482650.67,PLN,w przygotowaniu,Anita Laskus
625,UM/2022/00625,72,2022-07-02,2022-07-11,2024-07-01,497174.03,PLN,zakończona,Sonia Kulon
626,UM/2021/00626,1687,2021-10-11,2021-10-19,2023-07-13,276132.54,PLN,w przygotowaniu,Daniel Szymula
627,UM/2023/00627,1460,2023-05-27,2023-05-30,2025-06-18,341894.15,PLN,w przygotowaniu,Inga Frydrychowicz
628,UM/2025/00628,668,2025-08-21,2025-08-30,2027-02-01,16763.18,PLN,zakończona,pan Arkadiusz Siedlaczek
629,UM/2025/00629,1846,2025-10-27,2025-11-05,2029-09-02,50771.46,PLN,w przygotowaniu,Liwia Pielka
630,UM/2024/00630,1514,2024-09-17,2024-09-23,2026-02-14,283836.42,PLN,w przygotowaniu,Aniela Rosołek
631,UM/2021/00631,2102,2021-07-06,2021-07-26,2023-02-16,388276.02,PLN,aktywna,Klara Tomzik
632,UM/2025/00632,1640,2025-05-28,2025-06-12,2027-11-30,220863.64,PLN,aktywna,pan Ksawery Bilewicz
633,UM/2025/00633,636,2025-01-19,2025-01-21,2027-04-28,491161.59,PLN,zakończona,Łukasz Huczko
634,UM/2025/00634,1552,2025-04-22,2025-05-08,2028-06-03,437785.26,PLN,aktywna,Inga Wujek
635,UM/2023/00635,1067,2023-01-04,2023-01-08,2024-04-29,295367.61,PLN,aktywna,Ida Kubów
636,UM/2026/00636,586,2025-12-22,2026-01-01,,387058.03,PLN,w przygotowaniu,Daniel Pałgan
637,UM/2026/00637,1329,2026-02-28,2026-03-15,2030-01-02,257446.96,PLN,aktywna,Olga Roszko
638,UM/2024/00638,185,2024-12-14,2024-12-20,2028-04-07,239650.74,PLN,aktywna,Karina Batóg
639,UM/2024/00639,845,2024-02-02,2024-02-04,2026-12-25,77548.77,pln,zakończona,Klara Siemek
640,UM/2024/00640,1678,2024-08-08,2024-08-26,2024-04-30,321586.97,PLN,zakończona,Antoni Cibor
641,UM/2024/00641,841,2024-06-19,2024-06-20,2026-09-14,228999.56,PLN,w przygotowaniu,pan Ernest Jasica
642,UM/2024/00642,319,2024-02-11,2024-02-17,2027-06-19,128916.12,zł,aktywna,Anastazja Pniak
643,UM/2025/00643,1430,2025-07-22,2025-08-11,2029-03-06,59678.52,PLN,zakończona,Kalina Dudała
644,UM/2021/00644,235,2021-08-19,2021-08-21,2023-09-04,277222.62,PLN,aktywna,pan Robert Jamroży
645,UM/2025/00645,308,2025-07-01,2025-07-16,2027-12-14,439441.82,PLN,aktywna,pan Krystian Wiesiołek
646,UM/2021/00646,2109,2021-09-26,2021-10-07,2023-07-24,152905.68,PLN,w przygotowaniu,Fabian Bąkiewicz
647,UM/2022/00647,788,2022-02-23,2022-03-03,2023-03-04,253661.85,zł,aktywna,pan Marcin Fidler
648,UM/2021/00648,1165,2021-07-30,2021-08-09,2025-02-12,83541.34,PLN,zakończona,Przemysław Ratka
649,UM/2026/00649,1578,2026-07-03,2026-07-07,2028-02-26,162272.42,PLN,zakończona,pani Klara Turoń
650,UM/2023/00650,1113,2023-12-15,2023-12-23,,51463.03,PLN,aktywna,pani Tola Pawliczak
651,UM/2025/00651,1825,2025-04-10,2025-04-11,2028-09-07,32268.63,PLN,aktywna,Fabian Supernak
652,UM/2024/00652,530,2024-12-24,2024-12-27,2026-04-21,167330.11,PLN,w przygotowaniu,Konrad Grzelec
653,UM/2022/00653,2033,2022-12-15,2022-12-28,2023-11-03,55685.25,PLN,aktywna,Mateusz Fijak
654,UM/2026/00654,2110,2026-07-02,2026-07-09,2028-06-28,79617.52,PLN,w przygotowaniu,Janina Gemza
655,UM/2021/00655,1664,2021-09-28,2021-10-08,2025-05-16,464111.21,PLN,aktywna,Dagmara Salwin
656,UM/2025/00656,313,2025-05-05,2025-05-09,2027-11-27,62601.49,PLN,zakończona,Cezary Szajner
657,UM/2025/00657,1223,2025-07-08,2025-07-24,2028-12-19,44932.96,PLN,w przygotowaniu,Tobiasz Szram
658,UM/2026/00658,248,2026-04-19,2026-04-19,2030-02-11,39431.13,PLN,aktywna,Marcel Stąpor
659,UM/2025/00659,899,2025-07-15,2025-07-15,2026-12-11,62158.65,PLN,zakończona,Sebastian Winek
660,UM/2024/00660,1382,2024-10-11,2024-10-22,2027-03-12,313197.07,PLN,zakończona,Andrzej Byzdra
661,UM/2025/00661,1007,2025-03-11,2025-03-16,,111477.38,pln,w przygotowaniu,Cezary Duczek
662,UM/2025/00662,2197,2025-02-21,2025-03-09,2026-07-05,154408.06,PLN,zakończona,pan Tomasz Kośka
663,UM/2022/00663,1154,2022-11-16,2022-11-28,2024-11-16,445573.37,PLN,aktywna,Roksana Czesak
664,UM/2026/00664,93,2026-01-05,2026-01-20,2029-02-17,132655.68,PLN,w przygotowaniu,Ada Piotrak
665,UM/2025/00665,1286,2025-02-23,2025-03-01,2025-09-21,256706.93,PLN,w przygotowaniu,Mikołaj Piskor
666,UM/2024/00666,56,2024-09-25,2024-10-05,2028-08-07,365329.78,PLN,zakończona,Gabriel Tłuczek
667,UM/2021/00667,1108,2021-08-02,2021-08-07,2025-04-17,262829.58,PLN,aktywna,Marika Kij
668,UM/2024/00668,948,2023-12-20,2024-01-01,2027-04-17,77049.85,pln,zakończona,pani Eliza Szyca
669,UM/2024/00669,352,2024-04-25,2024-04-25,2025-07-25,350372.56,PLN,zakończona,Błażej Wac
670,UM/2022/00670,1175,2022-08-02,2022-08-05,2025-06-16,476759.1,PLN,zakończona,pani Julita Majewicz
671,UM/2024/00671,1433,2024-10-14,2024-10-28,2025-07-07,452681.31,PLN,w przygotowaniu,pani Dagmara Nóżka
672,UM/2024/00672,1529,2024-05-20,2024-05-30,2025-02-16,168739.62,PLN ,w przygotowaniu,pani Eliza Łosiak
673,UM/2023/00673,1464,2023-04-11,2023-04-22,2026-11-16,84565.64,PLN,zakończona,Mikołaj Bzdęga
674,UM/2022/00674,1301,2022-12-25,2022-12-29,2024-08-15,69726.22,PLN,zakończona,pani Kalina Reimann
675,UM/2022/00675,1252,2022-08-29,2022-09-02,2023-08-20,132979.94,PLN,w przygotowaniu,Ewa Melaniuk
676,UM/2024/00676,703,2024-03-13,2024-03-31,2028-02-06,267835.84,PLN,w przygotowaniu,pan Adrian Luberda
677,UM/2022/00677,635,2022-05-31,2022-06-19,2022-11-02,38959.09,PLN,zakończona,Błażej Kozłowicz
678,UM/2022/00678,1288,2022-07-07,2022-07-10,2024-12-02,327231.89,PLN,aktywna,Artur Kuba
679,UM/2025/00679,597,2025-08-02,2025-08-03,2027-04-23,156871.81,PLN,zakończona,pan Daniel Podsiedlik
680,UM/2026/00680,2113,2026-04-07,2026-04-10,2029-04-08,493781.34,PLN,aktywna,Juliusz Sapeta
681,UM/2022/00681,2273,2022-02-14,2022-02-26,2024-01-12,69455.84,PLN,zakończona,pani Agnieszka Skiepko
682,UM/2022/00682,896,2022-10-30,2022-10-31,2023-06-02,441971.66,PLN,zakończona,Kajetan Pietrusiak
683,UM/2026/00683,900,2026-04-28,2026-04-28,2026-12-07,8588.81,PLN,aktywna,Aleks Barteczko
684,UM/2022/00684,1154,2022-09-14,2022-09-27,2023-05-09,151881.36,PLN,zakończona,Apolonia Raźniak
685,UM/2022/00685,1156,2022-07-29,2022-08-05,2023-04-23,233021.24,PLN,zakończona,pan Olaf Kajdan
686,UM/2024/00686,1521,2024-05-06,2024-05-16,2024-10-09,332231.56,PLN,w przygotowaniu,Leonard Pusz
687,UM/2022/00687,1960,2022-04-16,2022-05-01,2023-04-28,12745.06,PLN,w przygotowaniu,Witold Kopyto
688,UM/2022/00688,218,2022-03-30,2022-04-08,2024-11-28,282118.28,PLN,zakończona,Aurelia Samol
689,UM/2025/00689,1938,2024-12-30,2025-01-18,2028-12-10,292269.33,PLN,w przygotowaniu,pani Tola Kiliszek
690,UM/2024/00690,1440,2024-01-18,2024-01-30,2025-05-10,336256.22,PLN,zakończona,Mariusz Strama
691,UM/2025/00691,319,2025-03-09,2025-03-11,2027-02-25,106633.78,PLN,aktywna,Marek Szyja
692,UM/2026/00692,1780,2026-04-28,2026-05-07,2029-02-07,309445.59,PLN,zakończona,pani Olga Kutek
693,UM/2024/00693,1832,2024-01-22,2024-02-03,2025-04-11,95810.21,PLN,w przygotowaniu,Błażej Sendor
694,UM/2023/00694,108,2023-11-10,2023-11-11,2026-12-11,222003.44,PLN,aktywna,Daniel Sromek
695,UM/2025/00695,2045,2024-12-25,2025-01-04,2026-11-03,24814.04,zł,zakończona,pan Gabriel Plak
696,UM/2025/00696,525,2025-02-11,2025-02-12,2026-05-24,48480.02,PLN,aktywna,Daniel Chabior
697,UM/2026/00697,34,2026-06-29,2026-07-08,2029-06-22,72052.13,PLN,w przygotowaniu,pan Tobiasz Kosidło
698,UM/2023/00698,916,2023-08-11,2023-08-18,,324824.19,PLN,aktywna,Nikodem Turlej
699,UM/2022/00699,352,2022-09-17,2022-09-26,2026-01-28,116917.32,PLN,aktywna,Jakub Mizak
700,UM/2023/00700,1767,2023-10-21,2023-11-02,2024-07-01,369585.56,PLN,w przygotowaniu,Dorota Wnuczek
701,UM/2026/00701,1932,2026-06-19,2026-06-28,2030-06-17,339426.06,PLN,zakończona,Marika Andrzejuk
702,UM/2024/00702,163,2024-10-12,2024-10-27,2027-10-18,58123.11,PLN,w przygotowaniu,Dariusz Barteczko
703,UM/2024/00703,1354,2024-07-04,2024-07-06,2028-01-04,396111.68,PLN,aktywna,Maksymilian Hadała
704,UM/2023/00704,1859,2023-08-15,2023-08-19,2026-08-24,120698.45,PLN,aktywna,Nataniel Dziuda
705,UM/2022/00705,482,2022-08-20,2022-08-30,2025-09-06,323944.14,PLN,w przygotowaniu,Elżbieta Paczos
706,UM/2023/00706,745,2023-10-09,2023-10-21,2024-02-09,151410.91,PLN,aktywna,Olgierd Prygiel
707,UM/2023/00707,1239,2023-10-16,2023-10-26,2025-01-22,398698.57,PLN,w przygotowaniu,Józef Jachimczak
708,UM/2025/00708,1542,2025-07-21,2025-08-08,2027-06-13,425487.28,PLN,zakończona,Lidia Talaśka
709,UM/2021/00709,1892,2021-11-21,2021-12-11,2021-12-01,276159.93,PLN,zakończona,Nataniel Małas
710,UM/2026/00710,95,2026-05-17,2026-05-28,2026-10-17,323421.54,PLN,zakończona,Patryk Mikusek
711,UM/2025/00711,277,2025-01-12,2025-01-27,2025-09-08,264780.18,PLN,w przygotowaniu,Przemysław Januchta
712,UM/2023/00712,202,2023-04-11,2023-04-12,2025-02-01,78918.15,zł,zakończona,Aleksander Mierzwiak
713,UM/2026/00713,2085,2026-02-18,2026-03-09,2027-11-22,128488.97,PLN,zakończona,Karina Wenda
714,UM/2023/00714,1809,2023-03-24,2023-04-12,2024-10-26,413053.3,PLN,zakończona,pani Adrianna Tatarek
715,UM/2023/00715,214,2023-09-20,2023-09-29,2026-05-22,155469.59,PLN,zakończona,Igor Działak
716,UM/2025/00716,479,2025-12-15,2025-12-18,2028-10-12,269744.47,PLN,aktywna,Sebastian Pilipczuk
717,UM/2023/00717,692,2023-10-19,2023-11-03,2024-06-18,358706.9,PLN,w przygotowaniu,Krystyna Koczara
718,UM/2022/00718,1825,2022-10-03,2022-10-17,2024-09-11,144823.81,PLN,zakończona,pan Alan Haponiuk
719,UM/2024/00719,1195,2023-12-26,2024-01-06,2027-03-01,350430.36,PLN,zakończona,Róża Fiedler
720,UM/2022/00720,420,2022-10-27,2022-11-16,,258726.44,pln,w przygotowaniu,Adrianna Jaremko
721,UM/2022/00721,1702,2022-02-07,2022-02-22,2024-03-03,164218.94,PLN,zakończona,Aleksander Latacz
722,UM/2022/00722,1373,2022-03-19,2022-03-27,2023-09-05,314307.01,PLN,w przygotowaniu,Karol Sarniak
723,UM/2023/00723,1795,2023-06-24,2023-07-13,2025-09-13,228929.31,PLN,aktywna,Sara Zawal
724,UM/2025/00724,250,2025-07-29,2025-08-13,2028-06-10,446824.8,zł,w przygotowaniu,Dawid Wierzchoń
725,UM/2021/00725,1529,2021-11-03,2021-11-13,2023-11-05,484386.64,PLN,aktywna,Kaja Małys
726,UM/2021/00726,1987,2021-08-26,2021-09-01,2022-04-24,52836.2,PLN,zakończona,pani Blanka Nikel
727,UM/2022/00727,1929,2022-02-16,2022-02-21,2023-03-27,480807.71,PLN,w przygotowaniu,Ksawery Draus
728,UM/2022/00728,752,2022-06-29,2022-07-17,2023-05-25,313552.1,PLN,zakończona,Klara Goliszek
729,UM/2023/00729,521,2023-09-05,2023-09-13,2023-06-25,27080.83,pln,zakończona,pani Anastazja Husak
730,UM/2023/00730,666,2023-06-13,2023-06-23,2027-05-05,425783.06,PLN,aktywna,Iwo Chalimoniuk
731,UM/2024/00731,1183,2024-04-18,2024-05-08,2024-01-16,266362.85,PLN,zakończona,pani Lidia Grzela
732,UM/2023/00732,1653,2023-05-01,2023-05-10,2024-06-22,456354.87,PLN,w przygotowaniu,Agnieszka Karczmarz
733,UM/2023/00733,1794,2023-01-17,2023-01-26,2024-07-11,78072.53,PLN,w przygotowaniu,Tadeusz Polasik
734,UM/2022/00734,97,2022-04-20,2022-04-25,2023-06-04,64464.92,PLN,zakończona,pan Wojciech Gawliczek
735,UM/2021/00735,1714,2021-12-10,2021-12-19,2022-03-26,452353.41,PLN,zakończona,pani Kamila Opoka
736,UM/2021/00736,664,2021-10-04,2021-10-16,2024-08-08,170887.17,PLN,w przygotowaniu,pani Liwia Fudalej
737,UM/2021/00737,1142,2021-11-10,2021-11-26,2022-09-30,231202.84,PLN,aktywna,Marianna Bejm
738,UM/2025/00738,1849,2025-01-11,2025-01-18,2027-08-08,220121.42,PLN,zakończona,Alex Obuchowicz
739,UM/2021/00739,978,2021-09-24,2021-09-29,2022-04-19,487147.05,PLN,w przygotowaniu,Wojciech Latoszek
740,UM/2024/00740,1597,2024-09-19,2024-10-08,2026-12-08,98368.69,PLN,aktywna,Angelika Walo
741,UM/2021/00741,5,2021-11-08,2021-11-21,2024-03-26,364415.89,PLN,aktywna,Agnieszka Łabuś
742,UM/2023/00742,1591,2023-09-23,2023-10-13,2027-03-19,57643.69,PLN,w przygotowaniu,Grzegorz Karłowicz
743,UM/2025/00743,1039,2025-11-03,2025-11-11,2027-12-28,335051.54,PLN,aktywna,pani Ewelina Idzi
744,UM/2022/00744,1025,2022-09-23,2022-10-11,,453576.92,PLN,aktywna,Jerzy Ruszczak
745,UM/2022/00745,137,2022-02-14,2022-02-19,2022-07-14,17560.49,PLN,w przygotowaniu,pani Angelika Ziętal
746,UM/2023/00746,1655,2023-08-29,2023-08-30,2026-08-30,149440.47,PLN ,zakończona,pani Anastazja Folta
747,UM/2022/00747,764,2022-05-10,2022-05-13,2023-12-25,418417.05,PLN,aktywna,pan Borys Ziegler
748,UM/2025/00748,1291,2025-06-15,2025-06-18,2028-04-27,301545.93,PLN,zakończona,Rafał Luks
749,UM/2024/00749,1671,2024-11-12,2024-11-12,2026-02-11,169324.47,PLN,zakończona,Liwia Franc
750,UM/2023/00750,331,2023-07-09,2023-07-17,,339693.45,PLN,aktywna,Tymon Gmur
751,UM/2023/00751,736,2023-01-26,2023-01-27,2024-04-25,248136.16,PLN,aktywna,Ewa Ograbek
752,UM/2023/00752,323,2023-03-01,2023-03-02,2024-08-17,465953.37,PLN,zakończona,Klara Bittner
753,UM/2022/00753,588,2022-06-15,2022-07-02,2023-09-04,233924.56,PLN,w przygotowaniu,pani Aurelia Suszko
754,UM/2024/00754,2076,2024-11-09,2024-11-27,2027-01-06,97046.76,PLN,zakończona,Julian Jakubiuk
755,UM/2024/00755,674,2024-03-28,2024-04-14,2026-03-05,364083.33,PLN,aktywna,Emil Misiaszek
756,UM/2022/00756,1606,2021-12-18,2022-01-07,2024-12-27,236114.46,PLN,w przygotowaniu,Kazimierz Puch
757,UM/2024/00757,2059,2024-01-15,2024-01-31,2023-11-30,29619.54,PLN,aktywna,Inga Jonik
758,UM/2021/00758,136,2021-11-10,2021-11-30,2023-04-27,175685.5,PLN,w przygotowaniu,Jędrzej Kazimierczuk
759,UM/2024/00759,852,2024-10-07,2024-10-23,2025-11-25,112038.13,pln,aktywna,Borys Kidoń
760,UM/2022/00760,1907,2022-05-06,2022-05-21,2023-10-23,168377.32,PLN,zakończona,Kamila Borkowicz
761,UM/2023/00761,123,2023-02-17,2023-03-01,2026-05-07,326840.1,PLN,w przygotowaniu,pani Adrianna Skalik
762,UM/2022/00762,1142,2022-07-24,2022-08-10,2024-05-01,340950.78,zł,zakończona,Marek Anders
763,UM/2024/00763,1679,2024-08-19,2024-08-20,2026-04-14,140091.23,PLN,aktywna,pani Nicole Buksa
764,UM/2025/00764,1713,2025-07-19,2025-07-22,2026-10-01,198612.3,PLN,w przygotowaniu,pani Monika Osial
765,UM/2023/00765,1274,2023-08-08,2023-08-12,2025-09-05,234074.45,PLN,aktywna,Jakub Ochota
766,UM/2022/00766,1921,2022-08-28,2022-08-29,2026-08-06,67005.06,PLN,zakończona,Ignacy Lejk
767,UM/2025/00767,318,2025-04-13,2025-04-25,2027-09-12,306715.84,PLN,w przygotowaniu,Jerzy Kunka
768,UM/2025/00768,1278,2025-10-07,2025-10-22,2026-04-01,335026.87,PLN,aktywna,pan Alex Kazberuk
769,UM/2021/00769,1751,2021-10-14,2021-11-03,2022-12-02,324948.03,PLN,zakończona,Patryk Ceran
770,UM/2023/00770,339,2022-12-26,2023-01-13,2024-12-04,374367.21,PLN,zakończona,pan Mariusz Kostek
771,UM/2022/00771,1905,2022-09-01,2022-09-02,2025-08-29,84311.55,PLN,w przygotowaniu,pan Adam Tatarczyk
772,UM/2023/00772,135,2023-11-08,2023-11-18,2026-09-11,6294.59,PLN,zakończona,Cyprian Imiołczyk
773,UM/2023/00773,974,2023-11-02,2023-11-16,2025-01-23,408943.31,PLN,zakończona,Bianka Płocharczyk
774,UM/2023/00774,1100,2023-10-04,2023-10-14,2027-10-10,491098.93,PLN,zakończona,Bruno Stein
775,UM/2021/00775,1464,2021-08-09,2021-08-11,2023-07-04,43428.8,PLN,w przygotowaniu,pan Artur Monkiewicz
776,UM/2021/00776,1312,2021-09-13,2021-09-25,2024-03-31,366292.35,PLN,aktywna,pani Angelika Siekierka
777,UM/2026/00777,1656,2026-05-07,2026-05-22,2027-09-05,302995.84,PLN,aktywna,pan Emil Gleba
778,UM/2021/00778,2084,2021-12-17,2021-12-27,2024-12-27,57912.77,PLN,zakończona,pani Malwina Damian
779,UM/2024/00779,1861,2024-12-03,2024-12-08,2026-02-21,398461.49,PLN,w przygotowaniu,Anastazja Ceynowa
780,UM/2021/00780,1193,2021-12-24,2021-12-28,2024-07-05,381617.19,PLN,aktywna,Sylwia Jaskóła
781,UM/2026/00781,582,2026-06-18,2026-06-29,2030-02-20,124134.43,PLN,zakończona,Krzysztof Żbik
782,UM/2021/00782,1815,2021-12-04,2021-12-14,,395530.95,PLN,zakończona,pani Gaja Tondera
783,UM/2023/00783,2007,2023-09-18,2023-09-30,2024-06-23,187809.02,PLN,zakończona,Albert Fronczyk
784,UM/2022/00784,1059,2022-06-08,2022-06-19,2023-08-10,420485.51,PLN,w przygotowaniu,Witold Leżoń
785,UM/2026/00785,2415,2026-05-11,2026-05-24,2027-12-17,8016.35,PLN,w przygotowaniu,Ada Myk
786,UM/2024/00786,963,2024-09-02,2024-09-11,2026-02-25,24777.89,PLN,aktywna,Albert Sądej
787,UM/2025/00787,2476,2025-08-16,2025-09-01,,109852.4,PLN,w przygotowaniu,pan Robert Smela
788,UM/2022/00788,748,2022-02-26,2022-03-10,2024-05-28,207909.37,PLN,zakończona,Radosław Hołubowicz
789,UM/2023/00789,97,2023-08-28,2023-09-14,2027-07-24,472335.57,PLN,zakończona,Nataniel Zander
790,UM/2024/00790,1709,2024-10-30,2024-11-09,2027-03-05,120052.23,PLN,aktywna,Maks Towarek
791,UM/2021/00791,587,2021-10-17,2021-11-01,2023-02-15,499385.37,PLN,aktywna,Józef Zasępa
792,UM/2025/00792,1676,2025-01-04,2025-01-04,2026-05-22,141175.8,PLN,aktywna,Leonard Pancerz
793,UM/2025/00793,147,2025-01-03,2025-01-10,2026-02-22,447496.81,PLN,zakończona,Sonia Sorbian
794,UM/2026/00794,1085,2026-01-15,2026-01-19,2026-10-14,341425.26,PLN,aktywna,Leonard Wawszczak
795,UM/2026/00795,1183,2026-01-11,2026-01-25,2028-12-17,412184.95,PLN,zakończona,Kamila Skotarczak
796,UM/2026/00796,933,2026-02-24,2026-03-14,2029-08-19,88536.65,PLN,aktywna,Natasza Łodej
797,UM/2025/00797,2062,2025-05-07,2025-05-26,2027-12-06,139882.44,PLN,w przygotowaniu,pani Marianna Jancewicz
798,UM/2023/00798,647,2023-05-10,2023-05-25,2025-02-05,411790.25,PLN,w przygotowaniu,Aniela Kurnik
799,UM/2026/00799,1010,2026-06-14,2026-06-21,2027-06-03,470004.36,PLN,w przygotowaniu,Klara Para
800,UM/2024/00800,878,2024-10-06,2024-10-10,2027-11-20,376250.02,PLN,aktywna,Ernest Szlachcic
801,UM/2025/00801,713,2025-04-27,2025-05-13,2028-04-02,43650.72,PLN,w przygotowaniu,Marcel Zubowicz
802,UM/2026/00802,2058,2026-03-13,2026-03-16,2028-05-21,315681.79,PLN,w przygotowaniu,Ida Siewert
803,UM/2023/00803,2053,2023-11-22,2023-11-22,2024-07-23,295172.83,PLN,w przygotowaniu,Ignacy Januszko
804,UM/2026/00804,256,2026-02-16,2026-02-24,2026-07-27,10687.08,PLN,aktywna,Justyna Paździora
805,UM/2022/00805,725,2022-10-25,2022-11-08,,74149.44,PLN,zakończona,Julianna Januszewicz
806,UM/2025/00806,1349,2025-11-27,2025-12-01,2027-11-09,93653.53,PLN,zakończona,Julianna Widłak
807,UM/2024/00807,558,2024-11-25,2024-12-07,,244774.45,PLN,aktywna,Dagmara Rohde
808,UM/2025/00808,736,2025-05-30,2025-06-04,2028-05-20,447929.81,PLN,aktywna,pan Szymon Kretowicz
809,UM/2026/00809,1427,2026-01-10,2026-01-17,2028-01-22,73856.98,PLN,aktywna,Łukasz Zadka
810,UM/2025/00810,1608,2025-11-11,2025-11-30,2026-09-13,432680.16,PLN,aktywna,Alan Anioła
811,UM/2025/00811,1813,2025-11-22,2025-11-30,2025-05-25,181384.28,PLN,aktywna,Mieszko Broniek
812,UM/2025/00812,1617,2025-06-25,2025-07-05,2029-06-26,407591.69,PLN,aktywna,pan Andrzej Kozień
813,UM/2023/00813,1635,2023-11-29,2023-12-04,2024-03-11,387682.27,PLN,zakończona,pan Maciej Lang
814,UM/2026/00814,1332,2026-03-22,2026-03-25,2029-10-19,113144.28,PLN,w przygotowaniu,pan Nataniel Karkut
815,UM/2023/00815,20,2023-11-30,2023-12-10,2023-10-25,414142.56,PLN,zakończona,Oskar Trybus
816,UM/2026/00816,1664,2026-04-04,2026-04-16,2027-05-16,372191.56,pln,zakończona,pani Bianka Bacia
817,UM/2021/00817,2098,2021-12-02,2021-12-04,2022-09-11,106886.19,PLN,aktywna,Norbert Witko
818,UM/2025/00818,2291,2025-03-28,2025-04-01,2025-07-07,97460.96,PLN,w przygotowaniu,Marika Olearczyk
819,UM/2022/00819,358,2022-03-06,2022-03-23,2025-09-26,132281.45,PLN,zakończona,Alex Paluszak
820,UM/2023/00820,223,2023-05-16,2023-05-29,2025-09-12,468693.53,PLN,zakończona,pani Sylwia Mostek
821,UM/2024/00821,2084,2024-10-13,2024-10-23,2028-10-12,498451.02,PLN,aktywna,Tola Karol
822,UM/2023/00822,1723,2023-08-16,2023-09-05,2026-06-29,437129.61,PLN,zakończona,Krystian Janowiak
823,UM/2025/00823,309,2024-12-24,2025-01-12,2028-09-30,190167.13,PLN,zakończona,pani Sara Gęsiarz
824,UM/2024/00824,1663,2024-11-01,2024-11-02,2027-07-26,370579.29,PLN,aktywna,Tadeusz Liss
825,UM/2022/00825,1126,2022-08-22,2022-08-31,2022-05-15,286478.3,PLN,w przygotowaniu,pan Dariusz Potaczek
826,UM/2026/00826,427,2025-12-24,2026-01-02,2028-03-13,118013.76,PLN,w przygotowaniu,Maks Orman
827,UM/2021/00827,808,2021-07-24,2021-08-01,2023-05-03,486943.72,PLN,zakończona,Anastazja Błażejczak
828,UM/2024/00828,1713,2024-12-13,2024-12-17,2025-10-15,215482.78,PLN,aktywna,Kaja Tekieli
829,UM/2024/00829,1923,2024-04-28,2024-05-06,2027-03-20,354392.99,PLN,zakończona,Anna Maria Żołnierczyk
830,UM/2022/00830,595,2022-05-18,2022-05-21,2023-08-24,429065.11,PLN,w przygotowaniu,pan Grzegorz Macheta
831,UM/2023/00831,442,2023-03-14,2023-04-01,2024-03-24,420859.57,PLN,aktywna,Bianka Świerszcz
832,UM/2024/00832,116,2024-06-01,2024-06-08,2024-01-26,129429.44,PLN,aktywna,Marika Fugiel
833,UM/2022/00833,1339,2022-02-17,2022-02-20,2024-12-05,16596.24,PLN,aktywna,pan Juliusz Raźny
834,UM/2024/00834,969,2024-10-28,2024-11-14,2027-03-02,164137.04,PLN,w przygotowaniu,Sonia Kosałka
835,UM/2025/00835,964,2025-09-01,2025-09-06,2027-01-30,237503.64,PLN,aktywna,Mariusz Żmija
836,UM/2023/00836,849,2023-03-16,2023-03-26,2025-03-28,44700.85,PLN,aktywna,pani Sara Grupa
837,UM/2023/00837,1747,2023-04-28,2023-05-04,2023-02-17,492367.07,PLN,w przygotowaniu,Mariusz Bartkowicz
838,UM/2023/00838,2361,2023-03-04,2023-03-18,2024-09-19,481555.89,PLN,w przygotowaniu,pan Dawid Ciężka
839,UM/2025/00839,265,2025-04-20,2025-05-02,2029-02-15,115886.45,PLN,aktywna,Piotr Miecznik
